Ticket_ID,llm_score
TKT-100376,1
TKT-100377,0
TKT-100378,0
TKT-100379,2
TKT-100380,0
TKT-100381,0
TKT-100382,1
TKT-100383,1
TKT-100384,2
TKT-100385,2
TKT-100386,0
TKT-100387,0
TKT-100388,1
TKT-100389,1
TKT-100390,0
TKT-100391,0
TKT-100392,1
TKT-100393,2
TKT-100394,0
TKT-100395,1
TKT-100396,0
TKT-100397,3
TKT-100398,0
TKT-100399,1
TKT-100400,0
TKT-100401,0
TKT-100402,2
TKT-100403,1
TKT-100404,3
TKT-100405,1
TKT-100406,1
TKT-100407,1
TKT-100408,2
TKT-100409,2
TKT-100410,0
TKT-100411,3
TKT-100412,1
TKT-100413,1
TKT-100414,0
TKT-100415,1
TKT-100416,0
TKT-100417,0
TKT-100418,0
TKT-100419,1
TKT-100420,2
TKT-100421,1
TKT-100422,0
TKT-100423,1
TKT-100424,0
TKT-100425,1
TKT-100426,0
TKT-100427,3
TKT-100428,0
TKT-100429,2
TKT-100430,1
TKT-100431,1
TKT-100432,3
TKT-100433,0
TKT-100434,0
TKT-100435,1
TKT-100436,0
TKT-100437,2
TKT-100438,2
TKT-100439,3
TKT-100440,1
TKT-100441,0
TKT-100442,1
TKT-100443,0
TKT-100444,1
TKT-100445,2
TKT-100446,1
TKT-100447,1
TKT-100448,0
TKT-100449,1
TKT-100450,1
TKT-100451,0
TKT-100452,2
TKT-100453,1
TKT-100454,2
TKT-100455,0
TKT-100456,1
TKT-100457,1
TKT-100458,3
TKT-100459,2
TKT-100460,2
TKT-100461,1
TKT-100462,1
TKT-100463,1
TKT-100464,1
TKT-100465,0
TKT-100466,1
TKT-100467,2
TKT-100468,0
TKT-100469,1
TKT-100470,2
TKT-100471,0
TKT-100472,0
TKT-100473,0
TKT-100474,0
TKT-100475,2
TKT-100476,1
TKT-100477,0
TKT-100478,1
TKT-100479,0
TKT-100480,0
TKT-100481,3
TKT-100482,3
TKT-100483,2
TKT-100484,0
TKT-100485,0
TKT-100486,0
TKT-100487,3
TKT-100488,0
TKT-100489,1
TKT-100490,1
TKT-100491,2
TKT-100492,0
TKT-100493,2
TKT-100494,0
TKT-100495,0
TKT-100496,2
TKT-100497,0
TKT-100498,1
TKT-100499,1
TKT-100500,2
TKT-100501,0
TKT-100502,0
TKT-100503,1
TKT-100504,2
TKT-100505,0
TKT-100506,0
TKT-100507,1
TKT-100508,1
TKT-100509,2
TKT-100510,3
TKT-100511,1
TKT-100512,1
TKT-100513,2
TKT-100514,0
TKT-100515,1
TKT-100516,1
TKT-100517,3
TKT-100518,1
TKT-100519,0
TKT-100520,1
TKT-100521,0
TKT-100522,0
TKT-100523,0
TKT-100524,1
TKT-100525,1
TKT-100526,0
TKT-100527,1
TKT-100528,2
TKT-100529,1
TKT-100530,0
TKT-100531,2
TKT-100532,2
TKT-100533,0
TKT-100534,1
TKT-100535,0
TKT-100536,1
TKT-100537,1
TKT-100538,1
TKT-100539,1
TKT-100540,0
TKT-100541,0
TKT-100542,0
TKT-100543,1
TKT-100544,0
TKT-100545,1
TKT-100546,1
TKT-100547,1
TKT-100548,2
TKT-100549,0
TKT-100550,0
TKT-100551,0
TKT-100552,1
TKT-100553,1
TKT-100554,0
TKT-100555,0
TKT-100556,0
TKT-100557,0
TKT-100558,0
TKT-100559,2
TKT-100560,2
TKT-100561,0
TKT-100562,3
TKT-100563,1
TKT-100564,1
TKT-100565,1
TKT-100566,0
TKT-100567,0
TKT-100568,1
TKT-100569,2
TKT-100570,0
TKT-100571,0
TKT-100572,2
TKT-100573,3
TKT-100574,1
TKT-100575,0
TKT-100576,1
TKT-100577,0
TKT-100578,0
TKT-100579,1
TKT-100580,0
TKT-100581,2
TKT-100582,1
TKT-100583,3
TKT-100584,1
TKT-100585,0
TKT-100586,1
TKT-100587,1
TKT-100588,2
TKT-100589,1
TKT-100590,0
TKT-100591,0
TKT-100592,1
TKT-100593,3
TKT-100594,1
TKT-100595,2
TKT-100596,2
TKT-100597,0
TKT-100598,1
TKT-100599,1
TKT-100600,0
TKT-100601,2
TKT-100602,0
TKT-100603,1
TKT-100604,0
TKT-100605,1
TKT-100606,0
TKT-100607,0
TKT-100608,1
TKT-100609,1
TKT-100610,1
TKT-100611,0
TKT-100612,1
TKT-100613,0
TKT-100614,2
TKT-100615,0
TKT-100616,1
TKT-100617,1
TKT-100618,3
TKT-100619,1
TKT-100620,0
TKT-100621,0
TKT-100622,1
TKT-100623,0
TKT-100624,0
TKT-100625,2
TKT-100626,0
TKT-100627,0
TKT-100628,2
TKT-100629,1
TKT-100630,2
TKT-100631,0
TKT-100632,2
TKT-100633,1
TKT-100634,2
TKT-100635,3
TKT-100636,0
TKT-100637,1
TKT-100638,0
TKT-100639,1
TKT-100640,0
TKT-100641,1
TKT-100642,2
TKT-100643,0
TKT-100644,0
TKT-100645,0
TKT-100646,0
TKT-100647,2
TKT-100648,0
TKT-100649,1
TKT-100650,1
TKT-100651,2
TKT-100652,1
TKT-100653,1
TKT-100654,0
TKT-100655,0
TKT-100656,2
TKT-100657,2
TKT-100658,1
TKT-100659,1
TKT-100660,0
TKT-100661,2
TKT-100662,3
TKT-100663,0
TKT-100664,1
TKT-100665,0
TKT-100666,0
TKT-100667,3
TKT-100668,2
TKT-100669,1
TKT-100670,0
TKT-100671,1
TKT-100672,2
TKT-100673,1
TKT-100674,0
TKT-100675,1
TKT-100676,2
TKT-100677,3
TKT-100678,2
TKT-100679,0
TKT-100680,0
TKT-100681,3
TKT-100682,1
TKT-100683,2
TKT-100684,0
TKT-100685,1
TKT-100686,0
TKT-100687,1
TKT-100688,0
TKT-100689,0
TKT-100690,2
TKT-100691,1
TKT-100692,1
TKT-100693,2
TKT-100694,3
TKT-100695,0
TKT-100696,1
TKT-100697,0
TKT-100698,2
TKT-100699,1
TKT-100700,0
TKT-100701,0
TKT-100702,1
TKT-100703,1
TKT-100704,1
TKT-100705,2
TKT-100706,0
TKT-100707,2
TKT-100708,1
TKT-100709,1
TKT-100710,2
TKT-100711,0
TKT-100712,3
TKT-100713,0
TKT-100714,0
TKT-100715,1
TKT-100716,0
TKT-100717,1
TKT-100718,0
TKT-100719,1
TKT-100720,2
TKT-100721,2
TKT-100722,0
TKT-100723,0
TKT-100724,1
TKT-100725,1
TKT-100726,1
TKT-100727,0
TKT-100728,1
TKT-100729,1
TKT-100730,2
TKT-100731,0
TKT-100732,0
TKT-100733,2
TKT-100734,1
TKT-100735,3
TKT-100736,2
TKT-100737,0
TKT-100738,0
TKT-100739,1
TKT-100740,3
TKT-100741,0
TKT-100742,0
TKT-100743,2
TKT-100744,0
TKT-100745,1
TKT-100746,0
TKT-100747,1
TKT-100748,1
TKT-100749,0
TKT-100750,1
TKT-100751,1
TKT-100752,1
TKT-100753,1
TKT-100754,0
TKT-100755,1
TKT-100756,1
TKT-100757,0
TKT-100758,0
TKT-100759,2
TKT-100760,0
TKT-100761,2
TKT-100762,0
TKT-100763,1
TKT-100764,0
TKT-100765,1
TKT-100766,3
TKT-100767,1
TKT-100768,1
TKT-100769,0
TKT-100770,1
TKT-100771,1
TKT-100772,2
TKT-100773,1
TKT-100774,0
TKT-100775,3
TKT-100776,1
TKT-100777,3
TKT-100778,1
TKT-100779,1
TKT-100780,0
TKT-100781,3
TKT-100782,1
TKT-100783,1
TKT-100784,0
TKT-100785,2
TKT-100786,0
TKT-100787,0
TKT-100788,0
TKT-100789,1
TKT-100790,0
TKT-100791,1
TKT-100792,1
TKT-100793,2
TKT-100794,0
TKT-100795,2
TKT-100796,2
TKT-100797,1
TKT-100798,0
TKT-100799,3
TKT-100800,1
TKT-100801,0
TKT-100802,1
TKT-100803,1
TKT-100804,0
TKT-100805,0
TKT-100806,2
TKT-100807,2
TKT-100808,1
TKT-100809,1
TKT-100810,0
TKT-100811,2
TKT-100812,3
TKT-100813,2
TKT-100814,2
TKT-100815,1
TKT-100816,0
TKT-100817,0
TKT-100818,1
TKT-100819,2
TKT-100820,1
TKT-100821,0
TKT-100822,1
TKT-100823,1
TKT-100824,1
TKT-100825,3
TKT-100826,1
TKT-100827,2
TKT-100828,2
TKT-100829,1
TKT-100830,1
TKT-100831,0
TKT-100832,1
TKT-100833,0
TKT-100834,0
TKT-100835,1
TKT-100836,2
TKT-100837,2
TKT-100838,0
TKT-100839,0
TKT-100840,2
TKT-100841,0
TKT-100842,2
TKT-100843,1
TKT-100844,1
TKT-100845,1
TKT-100846,2
TKT-100847,1
TKT-100848,0
TKT-100849,1
TKT-100850,3
TKT-100851,0
TKT-100852,0
TKT-100853,0
TKT-100854,1
TKT-100855,0
TKT-100856,0
TKT-100857,0
TKT-100858,0
TKT-100859,1
TKT-100860,1
TKT-100861,1
TKT-100862,1
TKT-100863,1
TKT-100864,1
TKT-100865,0
TKT-100866,1
TKT-100867,1
TKT-100868,1
TKT-100869,0
TKT-100870,0
TKT-100871,1
TKT-100872,0
TKT-100873,1
TKT-100874,1
TKT-100875,2
TKT-100876,0
TKT-100877,1
TKT-100878,1
TKT-100879,0
TKT-100880,0
TKT-100881,3
TKT-100882,1
TKT-100883,0
TKT-100884,2
TKT-100885,1
TKT-100886,2
TKT-100887,0
TKT-100888,0
TKT-100889,1
TKT-100890,0
TKT-100891,1
TKT-100892,1
TKT-100893,0
TKT-100894,2
TKT-100895,1
TKT-100896,0
TKT-100897,0
TKT-100898,0
TKT-100899,1
TKT-100900,1
TKT-100901,0
TKT-100902,1
TKT-100903,0
TKT-100904,1
TKT-100905,3
TKT-100906,2
TKT-100907,0
TKT-100908,1
TKT-100909,3
TKT-100910,1
TKT-100911,0
TKT-100912,0
TKT-100913,1
TKT-100914,2
TKT-100915,0
TKT-100916,2
TKT-100917,1
TKT-100918,0
TKT-100919,0
TKT-100920,0
TKT-100921,3
TKT-100922,0
TKT-100923,1
TKT-100924,0
TKT-100925,2
TKT-100926,0
TKT-100927,1
TKT-100928,1
TKT-100929,1
TKT-100930,0
TKT-100931,0
TKT-100932,0
TKT-100933,1
TKT-100934,1
TKT-100935,0
TKT-100936,0
TKT-100937,1
TKT-100938,1
TKT-100939,0
TKT-100940,1
TKT-100941,0
TKT-100942,2
TKT-100943,2
TKT-100944,1
TKT-100945,1
TKT-100946,0
TKT-100947,1
TKT-100948,1
TKT-100949,2
TKT-100950,1
TKT-100951,1
TKT-100952,2
TKT-100953,0
TKT-100954,0
TKT-100955,0
TKT-100956,1
TKT-100957,0
TKT-100958,3
TKT-100959,2
TKT-100960,0
TKT-100961,2
TKT-100962,0
TKT-100963,0
TKT-100964,1
TKT-100965,2
TKT-100966,1
TKT-100967,0
TKT-100968,1
TKT-100969,1
TKT-100970,1
TKT-100971,0
TKT-100972,0
TKT-100973,1
TKT-100974,2
TKT-100975,1
TKT-100976,0
TKT-100977,0
TKT-100978,0
TKT-100979,1
TKT-100980,1
TKT-100981,1
TKT-100982,1
TKT-100983,1
TKT-100984,0
TKT-100985,1
TKT-100986,0
TKT-100987,1
TKT-100988,3
TKT-100989,1
TKT-100990,0
TKT-100991,0
TKT-100992,0
TKT-100993,1
TKT-100994,0
TKT-100995,1
TKT-100996,2
TKT-100997,0
TKT-100998,1
TKT-100999,0
TKT-101000,2
TKT-101001,0
TKT-101002,1
TKT-101003,0
TKT-101004,0
TKT-101005,1
TKT-101006,2
TKT-101007,1
TKT-101008,1
TKT-101009,0
TKT-101010,2
TKT-101011,1
TKT-101012,0
TKT-101013,1
TKT-101014,0
TKT-101015,0
TKT-101016,0
TKT-101017,1
TKT-101018,1
TKT-101019,1
TKT-101020,0
TKT-101021,2
TKT-101022,0
TKT-101023,3
TKT-101024,0
TKT-101025,2
TKT-101026,0
TKT-101027,1
TKT-101028,0
TKT-101029,0
TKT-101030,2
TKT-101031,1
TKT-101032,0
TKT-101033,0
TKT-101034,0
TKT-101035,1
TKT-101036,1
TKT-101037,1
TKT-101038,0
TKT-101039,0
TKT-101040,2
TKT-101041,0
TKT-101042,1
TKT-101043,1
TKT-101044,1
TKT-101045,2
TKT-101046,1
TKT-101047,0
TKT-101048,2
TKT-101049,1
TKT-101050,0
TKT-101051,0
TKT-101052,1
TKT-101053,1
TKT-101054,0
TKT-101055,2
TKT-101056,1
TKT-101057,1
TKT-101058,0
TKT-101059,2
TKT-101060,2
TKT-101061,1
TKT-101062,0
TKT-101063,1
TKT-101064,1
TKT-101065,0
TKT-101066,0
TKT-101067,1
TKT-101068,1
TKT-101069,1
TKT-101070,1
TKT-101071,0
TKT-101072,1
TKT-101073,3
TKT-101074,0
TKT-101075,0
TKT-101076,1
TKT-101077,2
TKT-101078,0
TKT-101079,1
TKT-101080,0
TKT-101081,2
TKT-101082,2
TKT-101083,1
TKT-101084,3
TKT-101085,0
TKT-101086,0
TKT-101087,0
TKT-101088,0
TKT-101089,0
TKT-101090,0
TKT-101091,2
TKT-101092,0
TKT-101093,0
TKT-101094,0
TKT-101095,0
TKT-101096,1
TKT-101097,0
TKT-101098,2
TKT-101099,1
TKT-101100,0
TKT-101101,0
TKT-101102,1
TKT-101103,0
TKT-101104,1
TKT-101105,0
TKT-101106,1
TKT-101107,2
TKT-101108,1
TKT-101109,1
TKT-101110,0
TKT-101111,1
TKT-101112,0
TKT-101113,0
TKT-101114,0
TKT-101115,1
TKT-101116,3
TKT-101117,1
TKT-101118,1
TKT-101119,0
TKT-101120,1
TKT-101121,0
TKT-101122,0
TKT-101123,2
TKT-101124,2
TKT-101125,2
TKT-101126,1
TKT-101127,1
TKT-101128,1
TKT-101129,1
TKT-101130,0
TKT-101131,0
TKT-101132,1
TKT-101133,1
TKT-101134,1
TKT-101135,1
TKT-101136,0
TKT-101137,3
TKT-101138,0
TKT-101139,0
TKT-101140,3
TKT-101141,1
TKT-101142,2
TKT-101143,1
TKT-101144,0
TKT-101145,1
TKT-101146,3
TKT-101147,0
TKT-101148,1
TKT-101149,1
TKT-101150,1
TKT-101151,1
TKT-101152,0
TKT-101153,2
TKT-101154,0
TKT-101155,1
TKT-101156,1
TKT-101157,0
TKT-101158,1
TKT-101159,1
TKT-101160,0
TKT-101161,1
TKT-101162,0
TKT-101163,1
TKT-101164,1
TKT-101165,0
TKT-101166,0
TKT-101167,2
TKT-101168,1
TKT-101169,0
TKT-101170,0
TKT-101171,0
TKT-101172,0
TKT-101173,2
TKT-101174,1
TKT-101175,0
TKT-101176,0
TKT-101177,0
TKT-101178,0
TKT-101179,2
TKT-101180,2
TKT-101181,1
TKT-101182,2
TKT-101183,2
TKT-101184,1
TKT-101185,0
TKT-101186,1
TKT-101187,0
TKT-101188,1
TKT-101189,3
TKT-101190,0
TKT-101191,0
TKT-101192,2
TKT-101193,1
TKT-101194,1
TKT-101195,1
TKT-101196,0
TKT-101197,0
TKT-101198,0
TKT-101199,0
TKT-101200,0
TKT-101201,3
TKT-101202,2
TKT-101203,2
TKT-101204,1
TKT-101205,0
TKT-101206,0
TKT-101207,1
TKT-101208,0
TKT-101209,1
TKT-101210,0
TKT-101211,0
TKT-101212,1
TKT-101213,3
TKT-101214,1
TKT-101215,1
TKT-101216,2
TKT-101217,0
TKT-101218,1
TKT-101219,2
TKT-101220,1
TKT-101221,0
TKT-101222,0
TKT-101223,3
TKT-101224,0
TKT-101225,0
TKT-101226,1
TKT-101227,2
TKT-101228,2
TKT-101229,0
TKT-101230,0
TKT-101231,0
TKT-101232,0
TKT-101233,0
TKT-101234,1
TKT-101235,1
TKT-101236,0
TKT-101237,1
TKT-101238,1
TKT-101239,2
TKT-101240,3
TKT-101241,2
TKT-101242,0
TKT-101243,0
TKT-101244,0
TKT-101245,0
TKT-101246,1
TKT-101247,0
TKT-101248,0
TKT-101249,0
TKT-101250,0
TKT-101251,3
TKT-101252,0
TKT-101253,0
TKT-101254,0
TKT-101255,3
TKT-101256,1
TKT-101257,0
TKT-101258,0
TKT-101259,1
TKT-101260,0
TKT-101261,2
TKT-101262,0
TKT-101263,0
TKT-101264,2
TKT-101265,0
TKT-101266,0
TKT-101267,0
TKT-101268,0
TKT-101269,1
TKT-101270,1
TKT-101271,1
TKT-101272,0
TKT-101273,0
TKT-101274,0
TKT-101275,1
TKT-101276,0
TKT-101277,0
TKT-101278,0
TKT-101279,0
TKT-101280,1
TKT-101281,0
TKT-101282,3
TKT-101283,0
TKT-101284,0
TKT-101285,0
TKT-101286,2
TKT-101287,0
TKT-101288,1
TKT-101289,0
TKT-101290,1
TKT-101291,2
TKT-101292,3
TKT-101293,3
TKT-101294,0
TKT-101295,2
TKT-101296,0
TKT-101297,0
TKT-101298,0
TKT-101299,1
TKT-101300,1
TKT-101301,2
TKT-101302,0
TKT-101303,0
TKT-101304,1
TKT-101305,3
TKT-101306,0
TKT-101307,0
TKT-101308,1
TKT-101309,1
TKT-101310,1
TKT-101311,0
TKT-101312,0
TKT-101313,2
TKT-101314,3
TKT-101315,0
TKT-101316,1
TKT-101317,0
TKT-101318,2
TKT-101319,0
TKT-101320,1
TKT-101321,1
TKT-101322,3
TKT-101323,1
TKT-101324,0
TKT-101325,0
TKT-101326,2
TKT-101327,3
TKT-101328,2
TKT-101329,0
TKT-101330,0
TKT-101331,0
TKT-101332,2
TKT-101333,1
TKT-101334,0
TKT-101335,0
TKT-101336,0
TKT-101337,0
TKT-101338,2
TKT-101339,1
TKT-101340,0
TKT-101341,0
TKT-101342,1
TKT-101343,0
TKT-101344,0
TKT-101345,2
TKT-101346,1
TKT-101347,2
TKT-101348,0
TKT-101349,1
TKT-101350,1
TKT-101351,1
TKT-101352,0
TKT-101353,1
TKT-101354,2
TKT-101355,1
TKT-101356,1
TKT-101357,0
TKT-101358,1
TKT-101359,0
TKT-101360,0
TKT-101361,1
TKT-101362,0
TKT-101363,0
TKT-101364,0
TKT-101365,1
TKT-101366,1
TKT-101367,3
TKT-101368,0
TKT-101369,1
TKT-101370,3
TKT-101371,0
TKT-101372,0
TKT-101373,2
TKT-101374,3
TKT-101375,0
TKT-101376,1
TKT-101377,1
TKT-101378,1
TKT-101379,3
TKT-101380,0
TKT-101381,0
TKT-101382,1
TKT-101383,0
TKT-101384,0
TKT-101385,2
TKT-101386,0
TKT-101387,0
TKT-101388,1
TKT-101389,0
TKT-101390,0
TKT-101391,0
TKT-101392,2
TKT-101393,0
TKT-101394,0
TKT-101395,2
TKT-101396,1
TKT-101397,3
TKT-101398,0
TKT-101399,0
TKT-101400,1
TKT-101401,0
TKT-101402,0
TKT-101403,0
TKT-101404,0
TKT-101405,0
TKT-101406,0
TKT-101407,0
TKT-101408,0
TKT-101409,1
TKT-101410,0
TKT-101411,0
TKT-101412,0
TKT-101413,3
TKT-101414,2
TKT-101415,1
TKT-101416,1
TKT-101417,1
TKT-101418,0
TKT-101419,0
TKT-101420,3
TKT-101421,0
TKT-101422,1
TKT-101423,3
TKT-101424,2
TKT-101425,0
TKT-101426,0
TKT-101427,0
TKT-101428,1
TKT-101429,0
TKT-101430,1
TKT-101431,0
TKT-101432,2
TKT-101433,3
TKT-101434,2
TKT-101435,0
TKT-101436,0
TKT-101437,0
TKT-101438,1
TKT-101439,0
TKT-101440,0
TKT-101441,0
TKT-101442,1
TKT-101443,2
TKT-101444,0
TKT-101445,1
TKT-101446,1
TKT-101447,0
TKT-101448,1
TKT-101449,1
TKT-101450,2
TKT-101451,1
TKT-101452,0
TKT-101453,1
TKT-101454,1
TKT-101455,0
TKT-101456,0
TKT-101457,0
TKT-101458,2
TKT-101459,0
TKT-101460,1
TKT-101461,1
TKT-101462,0
TKT-101463,0
TKT-101464,1
TKT-101465,1
TKT-101466,3
TKT-101467,2
TKT-101468,1
TKT-101469,1
TKT-101470,1
TKT-101471,0
TKT-101472,1
TKT-101473,0
TKT-101474,1
TKT-101475,2
TKT-101476,0
TKT-101477,0
TKT-101478,0
TKT-101479,2
TKT-101480,1
TKT-101481,0
TKT-101482,2
TKT-101483,0
TKT-101484,2
TKT-101485,0
TKT-101486,0
TKT-101487,1
TKT-101488,0
TKT-101489,0
TKT-101490,2
TKT-101491,1
TKT-101492,1
TKT-101493,0
TKT-101494,1
TKT-101495,0
TKT-101496,0
TKT-101497,0
TKT-101498,0
TKT-101499,1
TKT-101500,0
TKT-101501,0
TKT-101502,2
TKT-101503,2
TKT-101504,0
TKT-101505,0
TKT-101506,2
TKT-101507,2
TKT-101508,0
TKT-101509,0
TKT-101510,3
TKT-101511,0
TKT-101512,1
TKT-101513,2
TKT-101514,0
TKT-101515,0
TKT-101516,3
TKT-101517,1
TKT-101518,0
TKT-101519,1
TKT-101520,1
TKT-101521,0
TKT-101522,0
TKT-101523,0
TKT-101524,1
TKT-101525,1
TKT-101526,1
TKT-101527,1
TKT-101528,1
TKT-101529,0
TKT-101530,3
TKT-101531,2
TKT-101532,0
TKT-101533,1
TKT-101534,2
TKT-101535,1
TKT-101536,0
TKT-101537,0
TKT-101538,1
TKT-101539,2
TKT-101540,0
TKT-101541,2
TKT-101542,0
TKT-101543,2
TKT-101544,1
TKT-101545,1
TKT-101546,1
TKT-101547,0
TKT-101548,0
TKT-101549,0
TKT-101550,2
TKT-101551,2
